,Parameter,Date,Time,County,Station,Measurement,Unit
146,Ozone,2019-05-16,02:00,Kay,9010,0.03,Parts per million
147,Ozone,2019-05-16,03:00,Kay,9010,0.029,Parts per million
148,Ozone,2019-05-16,04:00,Kay,9010,0.026,Parts per million
149,Ozone,2019-05-16,05:00,Kay,9010,0.025,Parts per million
150,Ozone,2019-05-16,06:00,Kay,9010,0.027,Parts per million
151,Ozone,2019-05-16,07:00,Kay,9010,0.03,Parts per million
152,Ozone,2019-05-16,08:00,Kay,9010,0.035,Parts per million
153,Ozone,2019-05-16,09:00,Kay,9010,0.038,Parts per million
154,Ozone,2019-05-16,10:00,Kay,9010,0.04,Parts per million
155,Ozone,2019-05-16,11:00,Kay,9010,0.042,Parts per million
156,Ozone,2019-05-16,12:00,Kay,9010,0.044,Parts per million
157,Ozone,2019-05-16,13:00,Kay,9010,0.045,Parts per million
158,Ozone,2019-05-16,14:00,Kay,9010,0.047,Parts per million
159,Ozone,2019-05-16,15:00,Kay,9010,0.049,Parts per million
160,Ozone,2019-05-16,16:00,Kay,9010,0.051,Parts per million
161,Ozone,2019-05-16,17:00,Kay,9010,0.051,Parts per million
162,Ozone,2019-05-16,18:00,Kay,9010,0.048,Parts per million
163,Ozone,2019-05-16,19:00,Kay,9010,0.039,Parts per million
164,Ozone,2019-05-16,20:00,Kay,9010,0.039,Parts per million
165,Ozone,2019-05-16,21:00,Kay,9010,,Parts per million
166,Ozone,2019-05-16,22:00,Kay,9010,,Parts per million
167,Ozone,2019-05-16,23:00,Kay,9010,0.052,Parts per million
168,Ozone,2019-05-17,00:00,Kay,9010,0.052,Parts per million
169,Ozone,2019-05-17,01:00,Kay,9010,0.048,Parts per million
170,Ozone,2019-05-17,02:00,Kay,9010,0.043,Parts per million
171,Ozone,2019-05-17,03:00,Kay,9010,0.04,Parts per million
172,Ozone,2019-05-17,04:00,Kay,9010,0.038,Parts per million
173,Ozone,2019-05-17,05:00,Kay,9010,0.036,Parts per million
174,Ozone,2019-05-17,06:00,Kay,9010,0.036,Parts per million
175,Ozone,2019-05-17,07:00,Kay,9010,0.036,Parts per million
176,Ozone,2019-05-17,08:00,Kay,9010,0.038,Parts per million
177,Ozone,2019-05-17,09:00,Kay,9010,0.042,Parts per million
178,Ozone,2019-05-17,10:00,Kay,9010,0.045,Parts per million
179,Ozone,2019-05-17,11:00,Kay,9010,0.046,Parts per million
180,Ozone,2019-05-17,12:00,Kay,9010,0.046,Parts per million
181,Ozone,2019-05-17,13:00,Kay,9010,0.046,Parts per million
182,Ozone,2019-05-17,14:00,Kay,9010,0.046,Parts per million
183,Ozone,2019-05-17,15:00,Kay,9010,0.045,Parts per million
