,Parameter,Date,Time,County,Station,Measurement,Unit
110,Carbon monoxide,1992-07-01,05:00,San Bernardino,9004,0.0,Parts per million
111,Carbon monoxide,1992-07-01,03:00,San Bernardino,9004,0.0,Parts per million
112,Carbon monoxide,1992-07-01,02:00,San Bernardino,9004,0.0,Parts per million
113,Carbon monoxide,1992-07-01,01:00,San Bernardino,9004,0.0,Parts per million
114,Carbon monoxide,1992-07-01,00:00,San Bernardino,9004,0.0,Parts per million
115,Carbon monoxide,1992-06-30,23:00,San Bernardino,9004,0.0,Parts per million
116,Carbon monoxide,1992-06-30,22:00,San Bernardino,9004,0.0,Parts per million
117,Carbon monoxide,1992-06-30,21:00,San Bernardino,9004,0.0,Parts per million
118,Carbon monoxide,1992-06-30,20:00,San Bernardino,9004,0.0,Parts per million
119,Carbon monoxide,1992-06-30,19:00,San Bernardino,9004,0.0,Parts per million
120,Carbon monoxide,1992-06-30,18:00,San Bernardino,9004,0.0,Parts per million
121,Carbon monoxide,1992-06-30,17:00,San Bernardino,9004,0.0,Parts per million
122,Carbon monoxide,1992-06-30,16:00,San Bernardino,9004,0.0,Parts per million
123,Carbon monoxide,1992-06-30,15:00,San Bernardino,9004,0.0,Parts per million
124,Carbon monoxide,1992-06-30,14:00,San Bernardino,9004,0.0,Parts per million
125,Carbon monoxide,1992-06-30,13:00,San Bernardino,9004,0.0,Parts per million
126,Carbon monoxide,1992-06-30,12:00,San Bernardino,9004,0.0,Parts per million
127,Carbon monoxide,1992-06-30,11:00,San Bernardino,9004,0.0,Parts per million
128,Carbon monoxide,1992-06-30,10:00,San Bernardino,9004,0.0,Parts per million
129,Carbon monoxide,1992-06-30,09:00,San Bernardino,9004,1.0,Parts per million
130,Carbon monoxide,1992-06-30,08:00,San Bernardino,9004,1.0,Parts per million
131,Carbon monoxide,1992-06-30,07:00,San Bernardino,9004,1.0,Parts per million
132,Carbon monoxide,1992-06-30,06:00,San Bernardino,9004,1.0,Parts per million
133,Carbon monoxide,1992-06-30,05:00,San Bernardino,9004,1.0,Parts per million
134,Carbon monoxide,1992-06-30,03:00,San Bernardino,9004,1.0,Parts per million
135,Carbon monoxide,1992-06-30,02:00,San Bernardino,9004,1.0,Parts per million
136,Carbon monoxide,1992-06-30,01:00,San Bernardino,9004,1.0,Parts per million
137,Carbon monoxide,1992-06-30,00:00,San Bernardino,9004,1.0,Parts per million
138,Carbon monoxide,1992-06-29,23:00,San Bernardino,9004,1.0,Parts per million
139,Carbon monoxide,1992-06-29,22:00,San Bernardino,9004,1.0,Parts per million
140,Carbon monoxide,1992-06-29,21:00,San Bernardino,9004,1.0,Parts per million
141,Carbon monoxide,1992-06-29,20:00,San Bernardino,9004,1.0,Parts per million
142,Carbon monoxide,1992-06-29,19:00,San Bernardino,9004,1.0,Parts per million
143,Carbon monoxide,1992-06-29,18:00,San Bernardino,9004,1.0,Parts per million
144,Carbon monoxide,1992-06-29,17:00,San Bernardino,9004,1.0,Parts per million
145,Carbon monoxide,1992-06-29,16:00,San Bernardino,9004,1.0,Parts per million
146,Carbon monoxide,1992-06-29,15:00,San Bernardino,9004,1.0,Parts per million
147,Carbon monoxide,1992-06-29,14:00,San Bernardino,9004,1.0,Parts per million
148,Carbon monoxide,1992-06-29,13:00,San Bernardino,9004,1.0,Parts per million
149,Carbon monoxide,1992-06-29,12:00,San Bernardino,9004,1.0,Parts per million
150,Carbon monoxide,1992-06-29,11:00,San Bernardino,9004,1.0,Parts per million
151,Carbon monoxide,1992-06-29,10:00,San Bernardino,9004,1.0,Parts per million
152,Carbon monoxide,1992-06-29,09:00,San Bernardino,9004,1.0,Parts per million
153,Carbon monoxide,1992-06-29,08:00,San Bernardino,9004,1.0,Parts per million
154,Carbon monoxide,1992-06-29,07:00,San Bernardino,9004,2.0,Parts per million
155,Carbon monoxide,1992-06-29,06:00,San Bernardino,9004,2.0,Parts per million
156,Carbon monoxide,1992-06-29,05:00,San Bernardino,9004,1.0,Parts per million
157,Carbon monoxide,1992-06-29,03:00,San Bernardino,9004,1.0,Parts per million
158,Carbon monoxide,1992-06-29,02:00,San Bernardino,9004,1.0,Parts per million
159,Carbon monoxide,1992-06-29,01:00,San Bernardino,9004,1.0,Parts per million
160,Carbon monoxide,1992-06-29,00:00,San Bernardino,9004,1.0,Parts per million
161,Carbon monoxide,1992-06-28,23:00,San Bernardino,9004,1.0,Parts per million
162,Carbon monoxide,1992-06-28,22:00,San Bernardino,9004,1.0,Parts per million
163,Carbon monoxide,1992-06-28,21:00,San Bernardino,9004,1.0,Parts per million
164,Carbon monoxide,1992-06-28,20:00,San Bernardino,9004,1.0,Parts per million
165,Carbon monoxide,1992-06-28,19:00,San Bernardino,9004,1.0,Parts per million
166,Carbon monoxide,1992-06-28,18:00,San Bernardino,9004,1.0,Parts per million
167,Carbon monoxide,1992-06-28,17:00,San Bernardino,9004,0.0,Parts per million
